Epoch [3/200], Batch [2001/2500], Coarse Loss: 12.7926, Fine Loss: 8.1391
Epoch [3/200], Batch [2101/2500], Coarse Loss: 14.0169, Fine Loss: 9.0149
Epoch [3/200], Batch [2201/2500], Coarse Loss: 12.3846, Fine Loss: 8.9422
Epoch [3/200], Batch [2301/2500], Coarse Loss: 11.3012, Fine Loss: 8.4178
Epoch [3/200], Batch [2401/2500], Coarse Loss: 11.2177, Fine Loss: 5.8077
Epoch [4/200], Batch [1/2500], Coarse Loss: 10.8423, Fine Loss: 8.3550
Epoch [4/200], Batch [101/2500], Coarse Loss: 19.2850, Fine Loss: 5.9599
Epoch [4/200], Batch [201/2500], Coarse Loss: 11.2886, Fine Loss: 7.6645
Epoch [4/200], Batch [301/2500], Coarse Loss: 11.1441, Fine Loss: 8.8778
Epoch [4/200], Batch [401/2500], Coarse Loss: 11.8214, Fine Loss: 7.5088
Epoch [4/200], Batch [501/2500], Coarse Loss: 11.4500, Fine Loss: 7.6196
Epoch [4/200], Batch [601/2500], Coarse Loss: 16.0209, Fine Loss: 9.7853
Epoch [4/200], Batch [701/2500], Coarse Loss: 14.0369, Fine Loss: 9.9298
Epoch [4/200], Batch [801/2500], Coarse Loss: 10.9090, Fine Loss: 6.3814
Epoch [4/200], Batch [901/2500], Coarse Loss: 9.9071, Fine Loss: 7.8797
Epoch [4/200], Batch [1001/2500], Coarse Loss: 8.8062, Fine Loss: 6.4218
Epoch [4/200], Batch [1101/2500], Coarse Loss: 9.9693, Fine Loss: 7.3730
Epoch [4/200], Batch [1201/2500], Coarse Loss: 12.4151, Fine Loss: 8.7910
Epoch [4/200], Batch [1301/2500], Coarse Loss: 21.2654, Fine Loss: 6.3415
Epoch [4/200], Batch [1401/2500], Coarse Loss: 10.8066, Fine Loss: 6.8647
Epoch [4/200], Batch [1501/2500], Coarse Loss: 18.7886, Fine Loss: 5.7030
Epoch [4/200], Batch [1601/2500], Coarse Loss: 16.7961, Fine Loss: 9.3693
Epoch [4/200], Batch [1701/2500], Coarse Loss: 10.6390, Fine Loss: 8.1192
Epoch [4/200], Batch [1801/2500], Coarse Loss: 12.9714, Fine Loss: 9.3964
Epoch [4/200], Batch [1901/2500], Coarse Loss: 13.0900, Fine Loss: 9.1672
Epoch [4/200], Batch [2001/2500], Coarse Loss: 13.8214, Fine Loss: 7.2550
Epoch [4/200], Batch [2101/2500], Coarse Loss: 8.1425, Fine Loss: 6.3800
Epoch [4/200], Batch [2201/2500], Coarse Loss: 8.5960, Fine Loss: 6.5111
Epoch [4/200], Batch [2301/2500], Coarse Loss: 12.7022, Fine Loss: 7.9618
Epoch [4/200], Batch [2401/2500], Coarse Loss: 12.3228, Fine Loss: 10.1398
Epoch [5/200], Batch [1/2500], Coarse Loss: 10.9660, Fine Loss: 8.0499
Epoch [5/200], Batch [101/2500], Coarse Loss: 10.7271, Fine Loss: 7.8728
Epoch [5/200], Batch [201/2500], Coarse Loss: 10.2177, Fine Loss: 8.3366
Epoch [5/200], Batch [301/2500], Coarse Loss: 9.2955, Fine Loss: 8.0598
Epoch [5/200], Batch [401/2500], Coarse Loss: 11.8187, Fine Loss: 9.7107
Epoch [5/200], Batch [501/2500], Coarse Loss: 13.4188, Fine Loss: 7.3433
Epoch [5/200], Batch [601/2500], Coarse Loss: 8.5603, Fine Loss: 7.2678
Epoch [5/200], Batch [701/2500], Coarse Loss: 22.5165, Fine Loss: 8.2275
Epoch [5/200], Batch [801/2500], Coarse Loss: 8.7837, Fine Loss: 7.0972
Epoch [5/200], Batch [901/2500], Coarse Loss: 13.0749, Fine Loss: 9.2755
Epoch [5/200], Batch [1001/2500], Coarse Loss: 8.3400, Fine Loss: 5.7737
Epoch [5/200], Batch [1101/2500], Coarse Loss: 11.7416, Fine Loss: 8.5845
Epoch [5/200], Batch [1201/2500], Coarse Loss: 14.3020, Fine Loss: 7.8870
Epoch [5/200], Batch [1301/2500], Coarse Loss: 13.0818, Fine Loss: 7.8552
Epoch [5/200], Batch [1401/2500], Coarse Loss: 13.5834, Fine Loss: 8.7596
Epoch [5/200], Batch [1501/2500], Coarse Loss: 12.8586, Fine Loss: 10.4888
