Ground Truth ToA: 62.98649597167969, Coarse ToA: 65.6633071899414
Ground Truth ToA: 96.86624908447266, Coarse ToA: 98.12065887451172
Ground Truth ToA: 92.1031265258789, Coarse ToA: 92.2026596069336
Ground Truth ToA: 90.42912292480469, Coarse ToA: 95.05660247802734
Ground Truth ToA: 84.97389221191406, Coarse ToA: 84.89595794677734
Ground Truth ToA: 75.80657196044922, Coarse ToA: 78.12613677978516
Ground Truth ToA: 98.5063247680664, Coarse ToA: 94.44652557373047
Ground Truth ToA: 76.15267944335938, Coarse ToA: 76.3321304321289
Ground Truth ToA: 69.41416931152344, Coarse ToA: 71.96407318115234
Ground Truth ToA: 146.44171142578125, Coarse ToA: 144.44512939453125
Ground Truth ToA: 123.41546630859375, Coarse ToA: 122.47050476074219
Ground Truth ToA: 145.24232482910156, Coarse ToA: 142.86312866210938
Ground Truth ToA: 80.15425109863281, Coarse ToA: 80.47579956054688
Ground Truth ToA: 81.80255889892578, Coarse ToA: 80.42582702636719
Ground Truth ToA: 90.94094848632812, Coarse ToA: 90.63069915771484
Ground Truth ToA: 136.806640625, Coarse ToA: 136.75299072265625
Ground Truth ToA: 145.93336486816406, Coarse ToA: 147.07601928710938
Ground Truth ToA: 141.84567260742188, Coarse ToA: 140.54222106933594
Ground Truth ToA: 109.76583099365234, Coarse ToA: 109.71617126464844
Ground Truth ToA: 50.46929168701172, Coarse ToA: 50.724613189697266
Ground Truth ToA: 107.90550231933594, Coarse ToA: 104.8187026977539
Ground Truth ToA: 115.27571868896484, Coarse ToA: 114.83734893798828
Ground Truth ToA: 65.10363006591797, Coarse ToA: 68.1689682006836
Ground Truth ToA: 58.29707336425781, Coarse ToA: 59.37552261352539
Ground Truth ToA: 93.56346130371094, Coarse ToA: 94.91032409667969
Ground Truth ToA: 50.949092864990234, Coarse ToA: 50.894287109375
Ground Truth ToA: 133.9815673828125, Coarse ToA: 134.15048217773438
Ground Truth ToA: 131.40904235839844, Coarse ToA: 129.11029052734375
Ground Truth ToA: 121.48616790771484, Coarse ToA: 119.58349609375
Ground Truth ToA: 71.02040100097656, Coarse ToA: 70.19540405273438
Ground Truth ToA: 141.8488311767578, Coarse ToA: 137.646728515625
Ground Truth ToA: 99.69357299804688, Coarse ToA: 103.63460540771484
Ground Truth ToA: 51.08062744140625, Coarse ToA: 52.185123443603516
Ground Truth ToA: 56.347835540771484, Coarse ToA: 56.55299377441406
Ground Truth ToA: 109.1581802368164, Coarse ToA: 114.92640686035156
Ground Truth ToA: 134.23997497558594, Coarse ToA: 133.89247131347656
Ground Truth ToA: 88.46448516845703, Coarse ToA: 84.97516632080078
Ground Truth ToA: 76.69498443603516, Coarse ToA: 75.50736236572266
Ground Truth ToA: 125.76488494873047, Coarse ToA: 125.71392059326172
Ground Truth ToA: 107.54798889160156, Coarse ToA: 105.45789337158203
Ground Truth ToA: 53.205482482910156, Coarse ToA: 54.66164779663086
Ground Truth ToA: 66.12601470947266, Coarse ToA: 67.44874572753906
Ground Truth ToA: 144.09442138671875, Coarse ToA: 140.72662353515625
Ground Truth ToA: 52.16191864013672, Coarse ToA: 51.33672332763672
Ground Truth ToA: 123.3473129272461, Coarse ToA: 122.43242645263672
Ground Truth ToA: 57.737491607666016, Coarse ToA: 56.28858947753906
Ground Truth ToA: 127.44856262207031, Coarse ToA: 130.4891357421875
Ground Truth ToA: 114.29083251953125, Coarse ToA: 115.17938232421875
Ground Truth ToA: 112.42816162109375, Coarse ToA: 109.86815643310547
Ground Truth ToA: 87.52359008789062, Coarse ToA: 86.34870910644531
Ground Truth ToA: 122.42671966552734, Coarse ToA: 122.6580581665039
Ground Truth ToA: 123.12346649169922, Coarse ToA: 120.78824615478516
Ground Truth ToA: 99.84669494628906, Coarse ToA: 104.25041198730469
Ground Truth ToA: 106.51005554199219, Coarse ToA: 107.26481628417969
Ground Truth ToA: 79.84235382080078, Coarse ToA: 85.7344970703125
Ground Truth ToA: 54.859718322753906, Coarse ToA: 54.362640380859375
Ground Truth ToA: 51.76604461669922, Coarse ToA: 52.16255569458008
Ground Truth ToA: 84.85734558105469, Coarse ToA: 82.02418518066406
Ground Truth ToA: 133.91860961914062, Coarse ToA: 132.12789916992188
Ground Truth ToA: 117.73628997802734, Coarse ToA: 115.96131896972656
Ground Truth ToA: 125.38896179199219, Coarse ToA: 124.2791748046875
Ground Truth ToA: 67.92584991455078, Coarse ToA: 67.05197143554688
Ground Truth ToA: 68.60442352294922, Coarse ToA: 68.75849914550781
Ground Truth ToA: 52.958988189697266, Coarse ToA: 52.26580810546875
Ground Truth ToA: 53.638031005859375, Coarse ToA: 54.128013610839844
