Ground Truth ToA: 108.35808563232422, Coarse ToA: 103.56721496582031
Ground Truth ToA: 67.1622085571289, Coarse ToA: 67.62970733642578
Ground Truth ToA: 79.88556671142578, Coarse ToA: 85.22317504882812
Ground Truth ToA: 63.75873947143555, Coarse ToA: 61.10228729248047
Ground Truth ToA: 128.27603149414062, Coarse ToA: 127.6479721069336
Ground Truth ToA: 73.20232391357422, Coarse ToA: 73.93696594238281
Ground Truth ToA: 103.66574096679688, Coarse ToA: 105.04931640625
Ground Truth ToA: 61.11042785644531, Coarse ToA: 59.68626022338867
Ground Truth ToA: 119.060546875, Coarse ToA: 115.21077728271484
Ground Truth ToA: 125.89043426513672, Coarse ToA: 118.83906555175781
Ground Truth ToA: 88.40139770507812, Coarse ToA: 86.61837768554688
Ground Truth ToA: 81.26194763183594, Coarse ToA: 82.57632446289062
Ground Truth ToA: 83.75588989257812, Coarse ToA: 82.52865600585938
Ground Truth ToA: 125.07966613769531, Coarse ToA: 122.44489288330078
Ground Truth ToA: 91.2737808227539, Coarse ToA: 92.46420288085938
Ground Truth ToA: 105.63720703125, Coarse ToA: 105.47550964355469
Ground Truth ToA: 109.77821350097656, Coarse ToA: 116.70313262939453
Ground Truth ToA: 92.67012786865234, Coarse ToA: 91.93843841552734
Ground Truth ToA: 84.63166046142578, Coarse ToA: 83.78668975830078
Ground Truth ToA: 116.90919494628906, Coarse ToA: 114.37185668945312
Ground Truth ToA: 50.24006652832031, Coarse ToA: 48.841983795166016
Ground Truth ToA: 120.6327896118164, Coarse ToA: 117.7515869140625
Ground Truth ToA: 93.05005645751953, Coarse ToA: 90.0616226196289
Ground Truth ToA: 128.9619140625, Coarse ToA: 125.49745178222656
Ground Truth ToA: 77.0912094116211, Coarse ToA: 82.5016860961914
Ground Truth ToA: 127.62004089355469, Coarse ToA: 128.65603637695312
Ground Truth ToA: 148.98495483398438, Coarse ToA: 150.24957275390625
Ground Truth ToA: 85.0364761352539, Coarse ToA: 81.19892883300781
Ground Truth ToA: 55.34806442260742, Coarse ToA: 54.74116897583008
Ground Truth ToA: 105.32115173339844, Coarse ToA: 105.22502899169922
Ground Truth ToA: 115.42018127441406, Coarse ToA: 116.03559112548828
Ground Truth ToA: 100.42135620117188, Coarse ToA: 97.677490234375
Ground Truth ToA: 63.58736801147461, Coarse ToA: 65.65845489501953
Ground Truth ToA: 63.3877067565918, Coarse ToA: 61.16242980957031
Ground Truth ToA: 78.86541748046875, Coarse ToA: 77.60102081298828
Ground Truth ToA: 50.06182098388672, Coarse ToA: 54.33293151855469
Ground Truth ToA: 53.411380767822266, Coarse ToA: 56.61616516113281
Ground Truth ToA: 125.62643432617188, Coarse ToA: 124.83209991455078
Ground Truth ToA: 55.586585998535156, Coarse ToA: 54.77904510498047
Ground Truth ToA: 128.97755432128906, Coarse ToA: 130.7316436767578
Ground Truth ToA: 143.7445831298828, Coarse ToA: 143.0631103515625
Ground Truth ToA: 122.98613739013672, Coarse ToA: 124.28556060791016
Ground Truth ToA: 126.32015991210938, Coarse ToA: 122.44189453125
Ground Truth ToA: 60.25774002075195, Coarse ToA: 59.68959426879883
Ground Truth ToA: 148.58663940429688, Coarse ToA: 146.95249938964844
Ground Truth ToA: 97.42789459228516, Coarse ToA: 96.51632690429688
Ground Truth ToA: 120.98934173583984, Coarse ToA: 119.73518371582031
Ground Truth ToA: 109.18452453613281, Coarse ToA: 108.3060302734375
Ground Truth ToA: 125.23381042480469, Coarse ToA: 125.7111587524414
Ground Truth ToA: 148.34263610839844, Coarse ToA: 148.19871520996094
Ground Truth ToA: 100.4009017944336, Coarse ToA: 98.97185516357422
Ground Truth ToA: 76.19458770751953, Coarse ToA: 73.8508529663086
Ground Truth ToA: 60.54775619506836, Coarse ToA: 61.07219314575195
Ground Truth ToA: 64.26510620117188, Coarse ToA: 60.64345932006836
Ground Truth ToA: 123.02255249023438, Coarse ToA: 123.3141098022461
Ground Truth ToA: 91.05905151367188, Coarse ToA: 88.20450592041016
Ground Truth ToA: 138.53807067871094, Coarse ToA: 137.2265167236328
Ground Truth ToA: 134.51206970214844, Coarse ToA: 136.92889404296875
Ground Truth ToA: 137.34173583984375, Coarse ToA: 134.7296600341797
Ground Truth ToA: 105.26024627685547, Coarse ToA: 107.06402587890625
Ground Truth ToA: 112.1361083984375, Coarse ToA: 109.42703247070312
Ground Truth ToA: 83.30607604980469, Coarse ToA: 91.67791748046875
Ground Truth ToA: 87.80429077148438, Coarse ToA: 87.38282775878906
Ground Truth ToA: 84.01655578613281, Coarse ToA: 80.76436614990234
Ground Truth ToA: 117.85372161865234, Coarse ToA: 118.9432373046875
Ground Truth ToA: 114.02552032470703, Coarse ToA: 114.13004302978516
Ground Truth ToA: 111.449462890625, Coarse ToA: 111.40831756591797
Ground Truth ToA: 77.96379852294922, Coarse ToA: 82.52234649658203
Ground Truth ToA: 55.62952423095703, Coarse ToA: 54.50104522705078
Ground Truth ToA: 114.5134048461914, Coarse ToA: 112.12051391601562
Ground Truth ToA: 129.49261474609375, Coarse ToA: 127.31394958496094
Ground Truth ToA: 146.71188354492188, Coarse ToA: 147.1573944091797
Ground Truth ToA: 108.7102279663086, Coarse ToA: 108.14521026611328
Ground Truth ToA: 133.7500762939453, Coarse ToA: 134.691162109375
Ground Truth ToA: 86.60594177246094, Coarse ToA: 85.01428985595703
Ground Truth ToA: 104.54300689697266, Coarse ToA: 105.73418426513672
Ground Truth ToA: 128.55441284179688, Coarse ToA: 130.55548095703125
Ground Truth ToA: 52.10454559326172, Coarse ToA: 51.08235168457031
Ground Truth ToA: 98.57772827148438, Coarse ToA: 96.93142700195312
Ground Truth ToA: 72.03229522705078, Coarse ToA: 73.68184661865234
Ground Truth ToA: 92.56066131591797, Coarse ToA: 93.18998718261719
Ground Truth ToA: 146.00575256347656, Coarse ToA: 148.38954162597656
Ground Truth ToA: 149.90921020507812, Coarse ToA: 145.95997619628906
Ground Truth ToA: 74.83328247070312, Coarse ToA: 76.3124771118164
Ground Truth ToA: 107.8426742553711, Coarse ToA: 110.63520050048828
Ground Truth ToA: 85.68097686767578, Coarse ToA: 87.45198059082031
Ground Truth ToA: 61.86838912963867, Coarse ToA: 63.93431854248047
Ground Truth ToA: 130.64698791503906, Coarse ToA: 130.23410034179688
Ground Truth ToA: 76.15010070800781, Coarse ToA: 76.28903198242188
Ground Truth ToA: 68.39231872558594, Coarse ToA: 66.64909362792969
Ground Truth ToA: 146.90155029296875, Coarse ToA: 148.2854461669922
Ground Truth ToA: 75.072021484375, Coarse ToA: 75.27264404296875
Ground Truth ToA: 92.46321868896484, Coarse ToA: 93.30186462402344
Ground Truth ToA: 57.9139518737793, Coarse ToA: 63.71882247924805
Ground Truth ToA: 144.22010803222656, Coarse ToA: 142.21524047851562
Ground Truth ToA: 69.1094741821289, Coarse ToA: 69.05845642089844
Ground Truth ToA: 58.772438049316406, Coarse ToA: 61.14680480957031
Ground Truth ToA: 119.03849029541016, Coarse ToA: 119.9339828491211
Ground Truth ToA: 128.09442138671875, Coarse ToA: 128.3020782470703
Ground Truth ToA: 122.8214340209961, Coarse ToA: 124.98860931396484
Ground Truth ToA: 68.57709503173828, Coarse ToA: 68.33830261230469
Ground Truth ToA: 88.63648223876953, Coarse ToA: 87.33641815185547
Ground Truth ToA: 50.749881744384766, Coarse ToA: 52.81794738769531
Ground Truth ToA: 66.76568603515625, Coarse ToA: 66.41887664794922
Ground Truth ToA: 84.22859954833984, Coarse ToA: 86.8324203491211
Ground Truth ToA: 125.09104919433594, Coarse ToA: 124.93811798095703
Ground Truth ToA: 144.72323608398438, Coarse ToA: 147.0037841796875
Ground Truth ToA: 107.8545913696289, Coarse ToA: 105.17153930664062
Ground Truth ToA: 92.03797912597656, Coarse ToA: 89.55791473388672
Ground Truth ToA: 58.102210998535156, Coarse ToA: 57.72414016723633
Ground Truth ToA: 132.8966522216797, Coarse ToA: 130.53302001953125
Ground Truth ToA: 94.95780181884766, Coarse ToA: 93.8427734375
