Epoch [15/200], Batch [201/500], Coarse Loss: 10.5550, Fine Loss: 8.4812
Epoch [15/200], Batch [301/500], Coarse Loss: 15.8881, Fine Loss: 14.0692
Epoch [15/200], Batch [401/500], Coarse Loss: 18.4121, Fine Loss: 11.5749
Epoch [16/200], Batch [1/500], Coarse Loss: 11.0469, Fine Loss: 9.3158
Epoch [16/200], Batch [101/500], Coarse Loss: 9.6831, Fine Loss: 7.1213
Epoch [16/200], Batch [201/500], Coarse Loss: 12.3297, Fine Loss: 9.2608
Epoch [16/200], Batch [301/500], Coarse Loss: 12.5051, Fine Loss: 9.8001
Epoch [16/200], Batch [401/500], Coarse Loss: 13.0862, Fine Loss: 10.2580
Epoch [17/200], Batch [1/500], Coarse Loss: 12.6396, Fine Loss: 7.5349
Epoch [17/200], Batch [101/500], Coarse Loss: 16.2292, Fine Loss: 8.3435
Epoch [17/200], Batch [201/500], Coarse Loss: 14.0569, Fine Loss: 11.4863
Epoch [17/200], Batch [301/500], Coarse Loss: 17.8301, Fine Loss: 12.5349
Epoch [17/200], Batch [401/500], Coarse Loss: 24.4579, Fine Loss: 10.8996
Epoch [18/200], Batch [1/500], Coarse Loss: 17.6495, Fine Loss: 11.0023
Epoch [18/200], Batch [101/500], Coarse Loss: 14.6971, Fine Loss: 11.9066
Epoch [18/200], Batch [201/500], Coarse Loss: 16.4837, Fine Loss: 9.6751
Epoch [18/200], Batch [301/500], Coarse Loss: 16.3809, Fine Loss: 13.3962
Epoch [18/200], Batch [401/500], Coarse Loss: 14.4265, Fine Loss: 9.1434
Epoch [19/200], Batch [1/500], Coarse Loss: 17.7994, Fine Loss: 13.2978
Epoch [19/200], Batch [101/500], Coarse Loss: 9.7520, Fine Loss: 8.0133
Epoch [19/200], Batch [201/500], Coarse Loss: 14.1617, Fine Loss: 11.4463
Epoch [19/200], Batch [301/500], Coarse Loss: 10.2695, Fine Loss: 6.7662
Epoch [19/200], Batch [401/500], Coarse Loss: 17.6848, Fine Loss: 13.4440
Epoch [20/200], Batch [1/500], Coarse Loss: 14.1611, Fine Loss: 11.6567
Epoch [20/200], Batch [101/500], Coarse Loss: 11.4012, Fine Loss: 8.2777
Epoch [20/200], Batch [201/500], Coarse Loss: 16.2210, Fine Loss: 11.6476
Epoch [20/200], Batch [301/500], Coarse Loss: 12.8557, Fine Loss: 10.6902
Epoch [20/200], Batch [401/500], Coarse Loss: 13.1014, Fine Loss: 10.7331
Epoch [21/200], Batch [1/500], Coarse Loss: 11.6672, Fine Loss: 9.0634
Epoch [21/200], Batch [101/500], Coarse Loss: 19.1925, Fine Loss: 12.3009
Epoch [21/200], Batch [201/500], Coarse Loss: 12.1030, Fine Loss: 9.7946
Epoch [21/200], Batch [301/500], Coarse Loss: 10.0285, Fine Loss: 7.7472
Epoch [21/200], Batch [401/500], Coarse Loss: 18.2295, Fine Loss: 19.1796
Epoch [22/200], Batch [1/500], Coarse Loss: 18.4962, Fine Loss: 7.9397
Epoch [22/200], Batch [101/500], Coarse Loss: 14.2156, Fine Loss: 11.6166
Epoch [22/200], Batch [201/500], Coarse Loss: 12.8427, Fine Loss: 9.6205
Epoch [22/200], Batch [301/500], Coarse Loss: 10.5451, Fine Loss: 8.4807
Epoch [22/200], Batch [401/500], Coarse Loss: 13.7663, Fine Loss: 12.3789
Epoch [23/200], Batch [1/500], Coarse Loss: 9.8812, Fine Loss: 7.7764
Epoch [23/200], Batch [101/500], Coarse Loss: 15.1575, Fine Loss: 13.4147
Epoch [23/200], Batch [201/500], Coarse Loss: 25.8710, Fine Loss: 10.5346
Epoch [23/200], Batch [301/500], Coarse Loss: 17.5176, Fine Loss: 11.8710
Epoch [23/200], Batch [401/500], Coarse Loss: 11.0623, Fine Loss: 8.6368
Epoch [24/200], Batch [1/500], Coarse Loss: 15.0961, Fine Loss: 9.3625
Epoch [24/200], Batch [101/500], Coarse Loss: 13.1937, Fine Loss: 10.9716
Epoch [24/200], Batch [201/500], Coarse Loss: 13.6350, Fine Loss: 10.0433
Epoch [24/200], Batch [301/500], Coarse Loss: 10.8030, Fine Loss: 9.1913
Epoch [24/200], Batch [401/500], Coarse Loss: 10.3884, Fine Loss: 7.9306
Epoch [25/200], Batch [1/500], Coarse Loss: 9.3930, Fine Loss: 7.9489
Epoch [25/200], Batch [101/500], Coarse Loss: 14.4784, Fine Loss: 13.1160
Epoch [25/200], Batch [201/500], Coarse Loss: 10.3582, Fine Loss: 8.8893
Epoch [25/200], Batch [301/500], Coarse Loss: 25.8278, Fine Loss: 13.2154
Epoch [25/200], Batch [401/500], Coarse Loss: 14.6254, Fine Loss: 9.0549
Epoch [26/200], Batch [1/500], Coarse Loss: 13.5853, Fine Loss: 11.2264
