Epoch [15/200], Batch [201/500], Coarse Loss: 13.5519, Fine Loss: 6.5654
Epoch [15/200], Batch [301/500], Coarse Loss: 14.2770, Fine Loss: 6.3866
Epoch [15/200], Batch [401/500], Coarse Loss: 6.9495, Fine Loss: 5.0094
Epoch [16/200], Batch [1/500], Coarse Loss: 9.4962, Fine Loss: 7.7165
Epoch [16/200], Batch [101/500], Coarse Loss: 9.7062, Fine Loss: 7.1449
Epoch [16/200], Batch [201/500], Coarse Loss: 17.3619, Fine Loss: 6.2951
Epoch [16/200], Batch [301/500], Coarse Loss: 9.7725, Fine Loss: 6.4751
Epoch [16/200], Batch [401/500], Coarse Loss: 12.7586, Fine Loss: 7.5401
Epoch [17/200], Batch [1/500], Coarse Loss: 9.9497, Fine Loss: 7.4465
Epoch [17/200], Batch [101/500], Coarse Loss: 6.2498, Fine Loss: 4.6343
Epoch [17/200], Batch [201/500], Coarse Loss: 9.5681, Fine Loss: 5.8529
Epoch [17/200], Batch [301/500], Coarse Loss: 11.1838, Fine Loss: 7.3104
Epoch [17/200], Batch [401/500], Coarse Loss: 8.0072, Fine Loss: 6.0748
Epoch [18/200], Batch [1/500], Coarse Loss: 8.5808, Fine Loss: 5.4935
Epoch [18/200], Batch [101/500], Coarse Loss: 12.7682, Fine Loss: 8.2771
Epoch [18/200], Batch [201/500], Coarse Loss: 9.3508, Fine Loss: 5.9325
Epoch [18/200], Batch [301/500], Coarse Loss: 10.4368, Fine Loss: 5.5897
Epoch [18/200], Batch [401/500], Coarse Loss: 8.8073, Fine Loss: 5.8682
Epoch [19/200], Batch [1/500], Coarse Loss: 12.6017, Fine Loss: 7.1944
Epoch [19/200], Batch [101/500], Coarse Loss: 14.9269, Fine Loss: 6.0344
Epoch [19/200], Batch [201/500], Coarse Loss: 8.2715, Fine Loss: 5.5248
Epoch [19/200], Batch [301/500], Coarse Loss: 17.3649, Fine Loss: 6.1458
Epoch [19/200], Batch [401/500], Coarse Loss: 9.2139, Fine Loss: 4.9456
Epoch [20/200], Batch [1/500], Coarse Loss: 26.0299, Fine Loss: 7.0597
Epoch [20/200], Batch [101/500], Coarse Loss: 7.5994, Fine Loss: 5.1750
Epoch [20/200], Batch [201/500], Coarse Loss: 7.2987, Fine Loss: 5.1339
Epoch [20/200], Batch [301/500], Coarse Loss: 11.6132, Fine Loss: 7.4841
Epoch [20/200], Batch [401/500], Coarse Loss: 8.5883, Fine Loss: 6.6553
Epoch [21/200], Batch [1/500], Coarse Loss: 11.6885, Fine Loss: 5.5864
Epoch [21/200], Batch [101/500], Coarse Loss: 8.9694, Fine Loss: 6.1031
Epoch [21/200], Batch [201/500], Coarse Loss: 13.8164, Fine Loss: 6.6963
Epoch [21/200], Batch [301/500], Coarse Loss: 9.0188, Fine Loss: 5.4229
Epoch [21/200], Batch [401/500], Coarse Loss: 8.1559, Fine Loss: 6.0391
Epoch [22/200], Batch [1/500], Coarse Loss: 10.8735, Fine Loss: 5.8640
Epoch [22/200], Batch [101/500], Coarse Loss: 14.7604, Fine Loss: 6.2678
Epoch [22/200], Batch [201/500], Coarse Loss: 8.7059, Fine Loss: 6.1470
Epoch [22/200], Batch [301/500], Coarse Loss: 13.9376, Fine Loss: 5.6259
Epoch [22/200], Batch [401/500], Coarse Loss: 18.7399, Fine Loss: 8.6149
Epoch [23/200], Batch [1/500], Coarse Loss: 8.7562, Fine Loss: 5.7162
Epoch [23/200], Batch [101/500], Coarse Loss: 10.8800, Fine Loss: 6.2332
Epoch [23/200], Batch [201/500], Coarse Loss: 9.6227, Fine Loss: 6.2610
Epoch [23/200], Batch [301/500], Coarse Loss: 16.5998, Fine Loss: 6.7818
