Epoch [15/200], Batch [201/500], Coarse Loss: 6.2238, Fine Loss: 1.4611
Epoch [15/200], Batch [301/500], Coarse Loss: 6.6021, Fine Loss: 1.5318
Epoch [15/200], Batch [401/500], Coarse Loss: 9.9014, Fine Loss: 1.0745
Epoch [16/200], Batch [1/500], Coarse Loss: 6.0670, Fine Loss: 1.2666
Epoch [16/200], Batch [101/500], Coarse Loss: 4.8442, Fine Loss: 1.2375
Epoch [16/200], Batch [201/500], Coarse Loss: 6.5624, Fine Loss: 1.3138
Epoch [16/200], Batch [301/500], Coarse Loss: 6.3956, Fine Loss: 1.7514
Epoch [16/200], Batch [401/500], Coarse Loss: 7.0056, Fine Loss: 1.7844
Epoch [17/200], Batch [1/500], Coarse Loss: 5.9275, Fine Loss: 1.0877
Epoch [17/200], Batch [101/500], Coarse Loss: 6.2333, Fine Loss: 1.2759
Epoch [17/200], Batch [201/500], Coarse Loss: 6.3070, Fine Loss: 1.0058
Epoch [17/200], Batch [301/500], Coarse Loss: 31.7514, Fine Loss: 2.3831
Epoch [17/200], Batch [401/500], Coarse Loss: 11.9687, Fine Loss: 1.2401
Epoch [18/200], Batch [1/500], Coarse Loss: 9.6251, Fine Loss: 1.1258
Epoch [18/200], Batch [101/500], Coarse Loss: 4.9411, Fine Loss: 1.0312
Epoch [18/200], Batch [201/500], Coarse Loss: 11.0337, Fine Loss: 1.9706
Epoch [18/200], Batch [301/500], Coarse Loss: 12.1127, Fine Loss: 1.6088
Epoch [18/200], Batch [401/500], Coarse Loss: 5.5937, Fine Loss: 0.9767
Epoch [19/200], Batch [1/500], Coarse Loss: 7.5774, Fine Loss: 1.3655
Epoch [19/200], Batch [101/500], Coarse Loss: 6.0725, Fine Loss: 1.2945
Epoch [19/200], Batch [201/500], Coarse Loss: 5.8104, Fine Loss: 1.2171
Epoch [19/200], Batch [301/500], Coarse Loss: 13.5911, Fine Loss: 1.1864
Epoch [19/200], Batch [401/500], Coarse Loss: 7.4262, Fine Loss: 1.3522
Epoch [20/200], Batch [1/500], Coarse Loss: 5.6275, Fine Loss: 1.1121
Epoch [20/200], Batch [101/500], Coarse Loss: 5.2125, Fine Loss: 0.9999
Epoch [20/200], Batch [201/500], Coarse Loss: 6.5444, Fine Loss: 1.2527
Epoch [20/200], Batch [301/500], Coarse Loss: 5.8800, Fine Loss: 1.3151
Epoch [20/200], Batch [401/500], Coarse Loss: 9.1817, Fine Loss: 1.4155
Epoch [21/200], Batch [1/500], Coarse Loss: 13.5733, Fine Loss: 1.4995
Epoch [21/200], Batch [101/500], Coarse Loss: 4.2513, Fine Loss: 0.8530
Epoch [21/200], Batch [201/500], Coarse Loss: 6.7003, Fine Loss: 1.6580
Epoch [21/200], Batch [301/500], Coarse Loss: 7.2714, Fine Loss: 1.4303
Epoch [21/200], Batch [401/500], Coarse Loss: 7.5746, Fine Loss: 1.1038
Epoch [22/200], Batch [1/500], Coarse Loss: 7.6497, Fine Loss: 1.4257
Epoch [22/200], Batch [101/500], Coarse Loss: 8.9792, Fine Loss: 1.0327
Epoch [22/200], Batch [201/500], Coarse Loss: 5.1306, Fine Loss: 1.0688
Epoch [22/200], Batch [301/500], Coarse Loss: 5.4065, Fine Loss: 1.0299
Epoch [22/200], Batch [401/500], Coarse Loss: 5.0064, Fine Loss: 0.8431
Epoch [23/200], Batch [1/500], Coarse Loss: 7.4980, Fine Loss: 1.3394
Epoch [23/200], Batch [101/500], Coarse Loss: 9.5613, Fine Loss: 2.3680
Epoch [23/200], Batch [201/500], Coarse Loss: 5.1758, Fine Loss: 1.1873
Epoch [23/200], Batch [301/500], Coarse Loss: 5.9108, Fine Loss: 1.1864
Epoch [23/200], Batch [401/500], Coarse Loss: 5.4473, Fine Loss: 1.0664
Epoch [24/200], Batch [1/500], Coarse Loss: 4.5734, Fine Loss: 1.0000
Epoch [24/200], Batch [101/500], Coarse Loss: 5.0562, Fine Loss: 1.2816
Epoch [24/200], Batch [201/500], Coarse Loss: 11.6070, Fine Loss: 1.4425
Epoch [24/200], Batch [301/500], Coarse Loss: 5.3469, Fine Loss: 1.2894
Epoch [24/200], Batch [401/500], Coarse Loss: 5.9555, Fine Loss: 0.9680
Epoch [25/200], Batch [1/500], Coarse Loss: 5.9831, Fine Loss: 0.9354
Epoch [25/200], Batch [101/500], Coarse Loss: 6.1043, Fine Loss: 1.3101
Epoch [25/200], Batch [201/500], Coarse Loss: 4.4744, Fine Loss: 0.8129
Epoch [25/200], Batch [301/500], Coarse Loss: 5.6014, Fine Loss: 1.0831
Epoch [25/200], Batch [401/500], Coarse Loss: 4.7916, Fine Loss: 0.9820
Epoch [26/200], Batch [1/500], Coarse Loss: 10.4152, Fine Loss: 1.9057
Epoch [26/200], Batch [101/500], Coarse Loss: 13.8902, Fine Loss: 1.7186
Epoch [26/200], Batch [201/500], Coarse Loss: 4.6361, Fine Loss: 0.7823
Epoch [26/200], Batch [301/500], Coarse Loss: 6.7341, Fine Loss: 0.9212
Epoch [26/200], Batch [401/500], Coarse Loss: 5.3668, Fine Loss: 1.1111
Epoch [27/200], Batch [1/500], Coarse Loss: 5.7088, Fine Loss: 1.0024
Epoch [27/200], Batch [101/500], Coarse Loss: 6.5756, Fine Loss: 1.0607
Epoch [27/200], Batch [201/500], Coarse Loss: 5.5978, Fine Loss: 1.0926
Epoch [27/200], Batch [301/500], Coarse Loss: 8.5718, Fine Loss: 1.2257
Epoch [27/200], Batch [401/500], Coarse Loss: 3.5775, Fine Loss: 1.1180
Epoch [28/200], Batch [1/500], Coarse Loss: 4.4529, Fine Loss: 0.8234
Epoch [28/200], Batch [101/500], Coarse Loss: 4.0197, Fine Loss: 1.1139
Epoch [28/200], Batch [201/500], Coarse Loss: 4.4301, Fine Loss: 1.3578
Epoch [28/200], Batch [301/500], Coarse Loss: 4.0938, Fine Loss: 0.9133
Epoch [28/200], Batch [401/500], Coarse Loss: 4.2801, Fine Loss: 1.1586
Epoch [29/200], Batch [1/500], Coarse Loss: 12.8448, Fine Loss: 1.0702
